model_name,total_games,black_llm_wins,white_rand_wins,draws,black_llm_wins_percent,black_llm_draws_percent,white_rand_wins_percent,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,material_diff_llm_minus_rand_per_100moves,wrong_actions_per_100moves,wrong_moves_per_100moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,std_dev_wrong_actions_per_1000moves,std_dev_wrong_moves_per_1000moves,std_dev_mistakes_per_1000moves,average_moves,std_dev_moves,completion_tokens_black,completion_tokens_black_per_move,std_dev_completion_tokens_black_per_move,moe_completion_tokens_black_per_move,min_moves,max_moves,prompt_tokens_black,total_tokens_black,moe_material_diff,moe_avg_moves,moe_wrong_actions_per_1000moves,moe_wrong_moves_per_1000moves,moe_mistakes_per_1000moves
amazon.nova-lite-v1,42,0,42,0,0.0,0.0,100.0,194,50,46,38.95238095238095,0.21554026870452117,38.92857142857143,0.4629100498862757,0.023809523809523808,0.11904761904761914,42.46031746031746,19.682539682539684,424.6031746031746,196.82539682539684,621.4285714285714,571.9888529534079,250.8856425276912,533.0129336671354,4.619047619047619,2.59410571039453,103670,534.3814432989691,627.8322922095701,189.87818676853868,2,12,502116,605786,0.15648233404192521,0.7845472344885497,172.98920045730304,75.87649039485267,161.20153522640408
amazon.nova-pro-v1,33,0,33,0,0.0,0.0,100.0,388,11,88,38.45454545454545,1.2769815261709223,38.90909090909091,0.2919371040605711,-0.45454545454545453,-1.5523365523365524,4.949494949494949,32.76307026307026,49.494949494949495,327.6307026307026,377.12565212565215,105.26379301321333,206.79844217770906,218.26591789169697,11.757575757575758,8.287906487128938,68751,177.19329896907217,52.94316233422971,18.063794332128413,4,36,307823,376574,0.40090909090909094,2.8277690947564778,35.915185715702044,70.5580166163876,74.47062994874662
anthropic.claude-v3-5-sonnet,30,0,8,22,0.0,73.33333333333333,26.666666666666668,5148,0,12,15.8,9.918286837609783,22.5,11.840171247596624,-6.7,-3.695372321781311,0.0,1.4657738095238095,0.0,14.657738095238095,14.657738095238095,0.0,55.73599150948611,55.73599150948611,171.6,55.14845169302517,417373,81.07478632478633,8.50511825579201,3.0435174803249008,10,200,2997738,3415111,3.6748235206668056,19.734619989119185,0.0,19.944868412245814,19.944868412245814
anthropic.claude-v3-5-sonnet-v1,60,4,8,48,6.666666666666667,80.0,13.333333333333334,11003,0,3,13.2,8.297028261136736,17.366666666666667,9.425832996802766,-4.166666666666667,-1.9325398324516605,0.0,0.16666666666666666,0.0,1.6666666666666667,1.6666666666666667,0.0,12.909944487358056,12.909944487358056,183.38333333333333,40.11766239648308,884906,80.42406616377352,5.064480264512477,1.28149031781466,30,200,6420741,7305647,3.0048638788338065,10.151169172222898,0.0,3.266666666666666,3.266666666666666
anthropic.claude-v3-5-sonnet-v2,60,2,5,53,3.3333333333333335,88.33333333333333,8.333333333333332,11292,0,8,10.816666666666666,7.740476196682762,13.833333333333334,8.843587481787162,-3.0166666666666666,-0.5113419411810575,0.0,0.29828722002635044,0.0,2.9828722002635044,2.9828722002635044,0.0,18.02752921236788,18.02752921236788,188.2,37.12498359298844,1025929,90.8544987601842,4.514625535478015,1.142357874866914,22,200,6510330,7536259,2.559978723722791,9.393916954679366,0.0,4.561594266967543,4.561594266967543
anthropic.claude-v3-haiku,40,0,40,0,0.0,0.0,100.0,1334,7,4,36.725,3.389179614823986,37.15,3.731707521449266,-0.425,-1.1710852516809853,1.3203463203463202,1.3541666666666665,13.203463203463203,13.541666666666666,26.74512987012987,56.50616801833102,64.26461887630113,99.02084753056842,33.35,25.662054197609077,280994,210.64017991004496,261.9015177634043,81.16412124116572,2,98,2052970,2333964,1.0732781200960555,7.952752988906678,17.511442893036733,19.915811723952693,30.686878575611857
anthropic.claude-v3-opus,30,0,5,25,0.0,83.33333333333334,16.666666666666664,4968,1,7,15.633333333333333,10.479810913447302,21.633333333333333,10.189525836937124,-6,-3.349803552340468,0.18518518518518517,0.7457634521313766,1.8518518518518516,7.457634521313766,9.309486373165617,10.143010324169742,26.144327998793642,34.402707771246014,165.6,66.45900992341069,361980,72.8623188405797,13.503885685843564,4.832303432016992,18,200,2833235,3195215,3.1590075554883033,23.78205127121432,3.6296296296296293,9.355627621225407,12.310850869238884
deepseek-chat,70,0,68,2,0.0,2.857142857142857,97.14285714285714,4043,10,180,32.17142857142857,9.02006045895646,30.52857142857143,8.534196223194275,1.6428571428571428,3.5272572014318335,0.19779146503284434,9.634064766615486,1.9779146503284433,96.34064766615487,98.31856231648331,8.077224916853897,89.77810091878845,88.87214958563503,57.75714285714286,50.62863820221891,998322,246.92604501607718,35.93824965811299,8.419067135512611,8,200,2614032,3612354,1.424718024479006,11.860508178862721,1.8922095397118697,21.03184952312989,20.819617008528166
deepseek-r1-distill-qwen-14b@q8_0,30,0,30,0,0.0,0.0,100.0,78,82,8,39,0.0,39,0.0,0,0.0,117.5,11.666666666666666,1175.0,116.66666666666667,1291.6666666666667,460.27540481309893,333.0458530441192,354.0610051986788,2.6,1.0699661612438482,239699,3073.0641025641025,823.912248869868,294.8332117524135,2,6,175575,415274,0.0,0.3828824734899041,164.70743829555803,119.17892791193225,126.69910352977656
deepseek-r1-distill-qwen-32b@q4_k_m|isol_temp06,30,0,30,0,0.0,0.0,100.0,110,73,7,39,0.0,38.96666666666667,0.18257418583505536,0.03333333333333333,0.3333333333333333,89.44444444444444,6.583333333333333,894.4444444444445,65.83333333333333,960.2777777777778,495.32939876636414,141.79929559022872,487.52484627386434,3.6666666666666665,2.3537692930823684,239121,2173.827272727273,1144.9553974159164,409.7170270212998,2,10,218374,457495,0.06533333333333333,0.8422855241630117,177.25134893187538,50.74222625096592,174.45852569031015
