model_name,total_games,black_llm_wins,white_rand_wins,draws,black_llm_wins_percent,black_llm_draws_percent,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,material_diff_llm_minus_rand_per_100moves,wrong_actions_per_100moves,wrong_moves_per_100moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,std_dev_wrong_actions_per_1000moves,std_dev_wrong_moves_per_1000moves,std_dev_mistakes_per_1000moves,average_moves,std_dev_moves,completion_tokens_black,completion_tokens_black_per_move,min_moves,max_moves,prompt_tokens_black,total_tokens_black,moe_material_diff,moe_avg_moves,moe_wrong_actions_per_1000moves,moe_wrong_moves_per_1000moves,moe_mistakes_per_1000moves
gemma-2-9b-it@f16,140,0,128,12,0.0,8.571428571428571,8782,249,128,32.214285714285715,8.644693730951532,33.93571428571428,6.679950366297442,-1.7214285714285715,-1.8475981132548127,12.345371832320014,4.495597439697328,123.45371832320014,44.95597439697328,168.4096927201734,238.83164864256958,75.52596978000979,257.24776971328555,62.72857142857143,59.895573737465654,469466,53.45775449783648,2,200,5245549,5715015,1.0442796698092798,9.921715800790441,39.56251846676239,12.510894561606236,42.61315323015056
gemma-2-9b-it@f16|NOFA,70,0,62,8,0.0,11.428571428571429,4116,102,80,32.91428571428571,8.438598099696344,35.72857142857143,5.375525396826385,-2.8142857142857145,-3.7728076448396313,6.444288855565723,5.839329742246578,64.44288855565723,58.393297422465785,122.83618597812303,70.30011209631085,74.78868456919923,120.58223930025154,58.8,59.49512219684393,223782,54.36880466472303,6,200,2528886,2752668,1.307250594163961,13.937613344440662,16.468842222517416,17.520356788512153,28.248175069096277
gemma-2-9b-it@f32,70,0,68,2,0.0,2.857142857142857,4014,117,81,32.385714285714286,8.295787052217227,34.785714285714285,5.999741195246499,-2.4,-2.838655908106516,16.37596125494989,4.609016624322154,163.75961254949888,46.090166243221546,209.84977879272043,325.9495031485121,68.77235720265128,325.8480236744015,57.34285714285714,54.73040267735724,218637,54.46860986547085,2,200,2458842,2677479,1.4354876159870462,12.821407243752336,76.3584975868408,16.110943016554717,76.33472451738022
gemma-2-9b-it@iq4_xs,140,0,114,26,0.0,18.571428571428573,11261,248,90,30.457142857142856,9.838531963787412,31.557142857142857,8.327186496258733,-1.1,0.31503940338842934,22.985797117895178,1.92889426902757,229.85797117895177,19.2889426902757,249.1469138692275,459.1242841481546,40.06452316783758,456.7477989689943,80.43571428571428,73.73130400402266,719312,63.87638753219075,2,200,6394615,7113927,1.1161433599677058,12.213607755993566,76.05404507061147,6.636697634917562,75.66037974476002
gemma-2-9b-it@iq4_xs|NOFA,70,0,59,11,0.0,15.714285714285714,5638,135,43,31.071428571428573,9.203530243558685,31.442857142857143,7.519319492578433,-0.37142857142857144,0.9119311995248869,10.076766947136242,1.6789442656528064,100.76766947136242,16.789442656528067,117.55711212789049,251.86460255981694,29.128139704800873,253.57161792570773,80.54285714285714,67.72401062331463,361151,64.056580347641,2,200,3248815,3609966,1.6304519512139546,15.865352307026999,59.00301261699343,6.823698038725948,59.402906242963105
gemma-2-9b-it@iq4_xs|many,651,2,557,92,0.30721966205837176,14.132104454685098,52697,1113,497,30.1889400921659,9.305561642923639,31.56374807987711,7.539241387534659,-1.3748079877112136,-0.4578954916339049,10.050433837112402,2.4246256600085188,100.50433837112404,24.24625660008519,124.75059497120922,220.8607347410145,48.43306639554266,228.70725670330677,80.94777265745007,65.58278648771224,3395103,64.42687439512686,2,200,30351772,33746875,0.4849312062579377,5.037968435127672,16.966180758312444,3.7205534071490534,17.568938464848305
gemma-2-9b-it@q4_k_m,140,1,139,0,0.7142857142857143,0.0,7466,234,175,32.68571428571428,8.489592201343843,35.17142857142857,5.775092708020206,-2.4857142857142858,-3.026843520227081,13.150241493473596,5.276522193394643,131.50241493473595,52.765221933946435,184.2676368686824,262.2562162970469,61.0717423719631,272.7477475171409,53.32857142857143,49.68352257248562,476207,63.78341816233592,2,198,4598303,5074510,1.1404952098720131,8.230087136439156,43.442803578360454,10.116548410232294,45.18072817921924
gemma-2-9b-it@q4_k_m|NOFA,70,0,69,1,0.0,1.4285714285714286,2978,106,95,33.9,7.417468609957857,36.357142857142854,5.2861199553353515,-2.4571428571428573,-3.3506752145216634,13.305732803916202,8.400413967574206,133.05732803916203,84.00413967574205,217.0614677149041,227.6213901118616,96.4649752720869,273.96746193139796,42.542857142857144,43.92836253716598,192662,64.69509738079248,2,200,1901345,2094007,1.2432555673702415,10.290869390464257,53.323681121399716,22.598348855810887,64.1809347113191
gemma-2-9b-it@q8_0,140,1,128,11,0.7142857142857143,7.857142857142857,8226,230,137,32.392857142857146,8.623788772065351,34.99285714285714,6.466845637359116,-2.6,-4.140867792705724,11.59687325725015,5.017197704064138,115.96873257250151,50.17197704064138,166.1407096131429,213.01640104950556,79.5969606743082,228.54629752718722,58.75714285714286,58.20465894336344,440932,53.60223681011427,2,200,4932471,5373403,1.0718431110364328,9.641615369597138,35.286216664093345,13.185255155560599,37.85874764848014
gemma-2-9b-it@q8_0|NOFA,70,0,64,6,0.0,8.571428571428571,4898,118,75,32.25714285714286,8.611898937669288,33.65714285714286,6.805551259840055,-1.4,-1.906717575490627,14.910443589754713,5.313416851031972,149.10443589754715,53.134168510319725,202.23860440786686,327.2277380148851,97.16384681528635,331.5734412939483,69.97142857142858,65.86898974118101,262572,53.60800326663944,2,200,2929685,3192257,1.3385784369561828,15.43078619729619,76.6579430316614,22.762069863296492,77.67598837347707
