model_name,total_games,black_llm_wins,white_rand_wins,draws,black_llm_wins_percent,black_llm_draws_percent,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,material_diff_llm_minus_rand_per_100moves,wrong_actions_per_100moves,wrong_moves_per_100moves,average_moves,std_dev_moves,completion_tokens_black,completion_tokens_black_per_move
gemma-2-9b-it-f16,70,0,64,6,0.0,8.571428571428571,4014,119,65,24.62456402590932,9.80834297549916,28.006477329347284,8.900180428315,-3.3819133034379654,-0.08425294727050238,2.964623816641754,1.6193323368211259,57.34285714285714,60.19299572785755,216530,53.94369706028899
gemma-2-9b-it@iq4_xs,70,0,56,14,0.0,20.0,5868,129,40,21.888207225630538,10.99623986006074,26.140081799591,9.316838813346587,-4.251874573960464,-0.07245866690457504,2.198364008179959,0.6816632583503749,83.82857142857142,73.6522662688027,373755,63.693762781186095
gemma-2-9b-it@q4_k_m,70,0,70,0,0.0,0.0,3996,123,79,26.73748748748749,9.355850470781647,32.04054054054054,5.973654045118355,-5.303053053053052,-0.132709035361688,3.078078078078078,1.9769769769769767,57.08571428571429,49.26016729196778,253979,63.558308308308305
gemma-2-9b-it@q8_0,70,0,67,3,0.0,4.285714285714286,3466,121,74,28.384016156953262,8.024052749811919,33.32458165031737,6.821223913988172,-4.940565493364108,-0.14254372456330375,3.4910559723023655,2.1350259665320253,49.51428571428571,50.95509027064711,184465,53.22129255626082
meta-llama-3.1-8b-instruct-fp16,30,0,30,0,0.0,0.0,830,19,61,34.69638554216868,4.945423728191266,35.29397590361446,4.573926877832297,-0.597590361445782,-0.07199883872840748,2.289156626506024,7.349397590361447,27.666666666666668,22.3313431949108,59644,71.86024096385542
meta-llama-3.1-8b-instruct@f16#1,70,0,70,0,0.0,0.0,480,16,24,38.775,0.5695392874948536,38.916666666666664,0.27638539919632904,-0.14166666666666572,-0.029513888888888694,3.3333333333333335,5.0,6.857142857142857,4.517539514526257,71002,147.92083333333332
meta-llama-3.1-8b-instruct@f16#2,70,0,70,0,0.0,0.0,498,21,36,38.855421686746986,0.35167516914038616,38.95582329317269,0.2054875310111204,-0.10040160642570584,-0.020160965145724064,4.216867469879518,7.228915662650602,7.114285714285714,4.752571806454923,72541,145.66465863453814
meta-llama-3.1-8b-instruct@f16#2_NOFA_NOFA,70,0,70,0,0.0,0.0,524,16,28,38.270992366412216,1.4849879095618095,38.69083969465649,0.629909769581026,-0.4198473282442734,-0.08012353592447966,3.0534351145038165,5.343511450381679,7.485714285714286,6.285454540087789,72855,139.03625954198472
meta-llama-3.1-8b-instruct@f32#1,30,0,30,0,0.0,0.0,772,19,51,34.32383419689119,8.372871429355,34.97409326424871,7.098445595854911,-0.650259067357517,-0.08423044913957474,2.461139896373057,6.60621761658031,25.733333333333334,23.24210738198143,74884,97.0
meta-llama-3.1-8b-instruct@f32#2,40,0,40,0,0.0,0.0,927,24,64,37.27076591154261,2.211824103380834,37.49622437971953,3.6946179091242586,-0.2254584681769174,-0.024321301852957646,2.5889967637540456,6.903991370010787,23.175,12.764966705792848,93516,100.88025889967638
