AI SYSTEM,AUTHOR,DATE,SYSTEM TYPE,ARC-AGI-1,ARC-AGI-2,ARC-AGI-3,COST/TASK,COST (V3),CODE / PAPER
Gemini 3.5 Flash (Minimal),Google,19.05.2026,CoT,48.8%,8.9%,N/A,$0.107,N/A,—
Gemini 3.5 Flash (High),Google,19.05.2026,CoT,92.5%,72.1%,N/A,$0.850,N/A,—
GPT-5.5 Pro (High),OpenAI,23.04.2026,CoT,96.5%,84.6%,N/A,$10.51,N/A,—
GPT-5.5 Pro (xHigh),OpenAI,23.04.2026,CoT,95.0%,84.2%,N/A,$10.76,N/A,—
GPT-5.5 (High),OpenAI,23.04.2026,CoT,N/A,N/A,0.4%,N/A,$10.0K,—
GPT-5.5 (Low),OpenAI,22.04.2026,CoT,76.2%,33.3%,N/A,$0.350,N/A,—
GPT-5.5 (Medium),OpenAI,22.04.2026,CoT,92.2%,70.4%,N/A,$0.860,N/A,—
GPT-5.5 (High),OpenAI,22.04.2026,CoT,94.5%,83.3%,N/A,$1.45,N/A,—
GPT-5.5 (xHigh),OpenAI,22.04.2026,CoT,95.0%,85.0%,N/A,$1.87,N/A,—
Claude 4.7 (Low),Anthropic,16.04.2026,CoT,91.0%,62.1%,N/A,$2.38,N/A,—
Claude 4.7 (Medium),Anthropic,16.04.2026,CoT,91.0%,67.5%,N/A,$2.96,N/A,—
Claude 4.7 (High),Anthropic,16.04.2026,CoT,93.5%,68.3%,N/A,$3.17,N/A,—
Claude 4.7 (Max),Anthropic,16.04.2026,CoT,92.0%,75.8%,N/A,$7.43,N/A,—
Opus 4.7 (High),Anthropic,16.04.2026,CoT,N/A,N/A,0.2%,N/A,$10.0K,—
GPT-5.4 Mini (xHigh),OpenAI,17.03.2026,CoT,63.7%,18.9%,N/A,$0.750,N/A,—
GPT-5.4 Mini (High),OpenAI,17.03.2026,CoT,58.0%,13.2%,N/A,$0.560,N/A,—
GPT-5.4 Mini (Medium),OpenAI,17.03.2026,CoT,40.8%,4.4%,N/A,$0.330,N/A,—
GPT-5.4 Mini (Low),OpenAI,17.03.2026,CoT,13.0%,1.1%,N/A,$0.060,N/A,—
GPT-5.4 Nano (xHigh),OpenAI,17.03.2026,CoT,51.5%,5.7%,N/A,$0.160,N/A,—
GPT-5.4 Nano (High),OpenAI,17.03.2026,CoT,38.2%,3.6%,N/A,$0.130,N/A,—
GPT-5.4 Nano (Medium),OpenAI,17.03.2026,CoT,33.0%,1.9%,N/A,$0.060,N/A,—
GPT-5.4 Nano (Low),OpenAI,17.03.2026,CoT,18.3%,1.5%,N/A,$0.010,N/A,—
Grok 4.20 (Reasoning),xAI,09.03.2026,CoT,89.5%,65.1%,N/A,$0.920,N/A,—
Grok 4.20 (Beta Reasoning),xAI,05.03.2026,CoT,N/A,N/A,0.1%,N/A,$3.8K,—
GPT-5.4 (High),OpenAI,05.03.2026,CoT,N/A,N/A,0.2%,N/A,$5.2K,—
Gemini 3.1 Pro (Preview),Google,05.03.2026,CoT,N/A,N/A,0.4%,N/A,$2.2K,—
GPT-5.4 (Low),OpenAI,04.03.2026,CoT,68.2%,29.2%,N/A,$0.270,N/A,—
GPT-5.4 (Medium),OpenAI,04.03.2026,CoT,86.2%,55.4%,N/A,$0.680,N/A,—
GPT-5.4 (High),OpenAI,04.03.2026,CoT,92.7%,67.5%,N/A,$1.02,N/A,—
GPT-5.4 (xHigh),OpenAI,04.03.2026,CoT,93.7%,74.0%,N/A,$1.52,N/A,—
GPT-5.4 Pro (xHigh),OpenAI,04.03.2026,CoT,94.5%,83.3%,N/A,$16.41,N/A,—
GLM-5,Z.ai,20.02.2026,CoT,44.7%,4.9%,N/A,$0.270,N/A,—
Gemini 3.1 Pro (Preview),Google,19.02.2026,CoT,98.0%,77.1%,N/A,$0.962,N/A,📄
Claude Sonnet 4.6 (Max),Anthropic,17.02.2026,CoT,86.0%,58.3%,N/A,$2.72,N/A,—
Claude Sonnet 4.6 (High),Anthropic,17.02.2026,CoT,86.5%,60.4%,N/A,$2.70,N/A,—
Gemini 3 Deep Think (Preview) ²,Google,12.02.2026,CoT,87.5%,45.1%,N/A,$77.16,N/A,—
Gemini 3 Deep Think (2/26),Google,12.02.2026,CoT,96.0%,84.6%,N/A,$13.62,N/A,—
Minimax M2.5,Minimax,12.02.2026,CoT,63.7%,4.9%,N/A,$0.170,N/A,—
"Claude Opus 4.6 (120K, Low)",Anthropic,05.02.2026,CoT,86.0%,64.6%,N/A,$2.25,N/A,—
"Claude Opus 4.6 (120K, Medium)",Anthropic,05.02.2026,CoT,92.0%,66.3%,N/A,$2.72,N/A,—
"Claude Opus 4.6 (120K, High)",Anthropic,05.02.2026,CoT,94.0%,69.2%,N/A,$3.47,N/A,—
"Claude Opus 4.6 (120K, Max)",Anthropic,05.02.2026,CoT,93.0%,68.8%,N/A,$3.64,N/A,—
GPT-5.2 (Refine.),Johan Land,03.02.2026,Refinement,94.5%,72.9%,N/A,$38.99,N/A,💻
Kimi K2.5,Moonshot AI,27.01.2026,CoT,65.3%,11.8%,N/A,$0.280,N/A,—
Gemini 3 Flash Preview (Minimal),Google,17.12.2025,CoT,21.5%,3.3%,N/A,$0.021,N/A,—
Gemini 3 Flash Preview (Low),Google,17.12.2025,CoT,29.0%,1.3%,N/A,$0.025,N/A,—
Gemini 3 Flash Preview (Medium),Google,17.12.2025,CoT,57.7%,12.8%,N/A,$0.082,N/A,—
Gemini 3 Flash Preview (High),Google,17.12.2025,CoT,84.7%,33.6%,N/A,$0.231,N/A,—
Anthropic Opus 4.6 (Max),Anthropic,17.12.2025,CoT,N/A,N/A,0.5%,N/A,$8.9K,—
GPT-5.2,OpenAI,11.12.2025,Base LLM,12.3%,0.8%,N/A,$0.082,N/A,—
GPT-5.2 (Low),OpenAI,11.12.2025,CoT,55.7%,9.7%,N/A,$0.264,N/A,—
GPT-5.2 (Medium),OpenAI,11.12.2025,CoT,72.7%,26.7%,N/A,$0.759,N/A,—
GPT-5.2 (High),OpenAI,11.12.2025,CoT,78.7%,43.3%,N/A,$1.39,N/A,—
GPT-5.2 (xHigh),OpenAI,11.12.2025,CoT,86.2%,52.9%,N/A,$1.90,N/A,—
GPT-5.2 Pro (Medium),OpenAI,11.12.2025,CoT,81.2%,38.5%,N/A,$8.99,N/A,—
GPT-5.2 Pro (High),OpenAI,11.12.2025,CoT,85.7%,54.2%,N/A,$15.72,N/A,—
GPT-5.2 Pro (xHigh),OpenAI,11.12.2025,CoT,90.5%,N/A,N/A,$11.65,N/A,—
Gemini 3 Pro (Refine.),Poetiq,04.12.2025,Refinement,N/A,54.0%,N/A,$30.57,N/A,—
Deepseek V3.2,Deepseek,01.12.2025,Base LLM,57.0%,4.0%,N/A,$0.120,N/A,—
"Opus 4.5 (Thinking, None)",Anthropic,24.11.2025,CoT,40.0%,7.8%,N/A,$0.220,N/A,—
"Opus 4.5 (Thinking, 1K)",Anthropic,24.11.2025,CoT,35.2%,9.4%,N/A,$0.230,N/A,—
"Opus 4.5 (Thinking, 8K)",Anthropic,24.11.2025,CoT,58.7%,13.9%,N/A,$0.480,N/A,—
"Opus 4.5 (Thinking, 16K)",Anthropic,24.11.2025,CoT,72.0%,22.8%,N/A,$0.790,N/A,—
"Opus 4.5 (Thinking, 32K)",Anthropic,24.11.2025,CoT,75.8%,30.6%,N/A,$1.29,N/A,—
"Opus 4.5 (Thinking, 64K)",Anthropic,24.11.2025,CoT,80.0%,37.6%,N/A,$2.40,N/A,—
Gemini 3 Pro,Google,18.11.2025,CoT,75.0%,31.1%,N/A,$0.811,N/A,—
"GPT-5.1 (Thinking, None)",OpenAI,13.11.2025,CoT,5.8%,0.4%,N/A,$0.058,N/A,—
"GPT-5.1 (Thinking, Low)",OpenAI,13.11.2025,CoT,33.2%,1.9%,N/A,$0.129,N/A,—
"GPT-5.1 (Thinking, Medium)",OpenAI,13.11.2025,CoT,57.7%,6.5%,N/A,$0.421,N/A,—
"GPT-5.1 (Thinking, High)",OpenAI,13.11.2025,CoT,72.8%,17.6%,N/A,$1.17,N/A,—
Grok 4 (Fast Reasoning),xAI,21.10.2025,CoT,48.5%,5.3%,N/A,$0.061,N/A,📄
Tiny Recursion Model (TRM),Bespoke,07.10.2025,N/A,40.0%,6.3%,N/A,$2.10,N/A,📄💻
