model,provider,rs_at_2,rs_at_4,rs_at_6,rs_at_8,rs_at_10,rs_at_12,rs_at_14,rs_at_16,rs_at_18,rs_at_20
Gemini 3.1 Pro,Google,96.8,93.5,91.4,88.9,86.6,83.9,82.2,81.2,80.9,80.9
Claude 4.6 Opus,Anthropic,94.2,90.1,86.8,82.5,79.5,78.0,76.3,75.2,74.3,73.1
GPT 5.4,OpenAI,94.3,89.3,85.4,82.0,79.4,76.4,74.6,73.1,72.1,71.5
Claude 4.6 Sonnet,Anthropic,92.2,85.7,81.8,78.2,74.9,71.7,70.2,69.1,66.9,66.0
GPT 5.2,OpenAI,92.7,86.9,82.2,77.9,74.4,71.6,70.0,68.5,67.1,66.1
GPT 5.1,OpenAI,90.8,82.8,78.0,74.0,69.9,66.7,64.9,62.9,61.7,60.5
Kimi K2.5,Moonshot,91.1,86.1,83.0,75.6,73.3,70.0,68.8,66.4,64.9,64.1
GPT 5,OpenAI,91.5,80.9,71.6,66.3,62.1,58.5,55.9,53.3,51.4,48.3
Grok 4,xAI,91.7,85.4,78.5,74.0,69.0,67.2,65.4,62.1,61.4,59.3
GPT 4.1,OpenAI,88.9,79.8,70.9,67.7,62.2,56.8,54.8,51.7,49.8,49.5
o1,OpenAI,86.4,76.7,68.6,63.3,57.6,53.9,53.2,50.2,49.2,48.1
o3,OpenAI,85.2,75.2,65.9,60.7,58.1,53.5,50.8,49.4,48.9,48.2
GPT 5 Chat,OpenAI,83.3,73.3,66.0,60.2,56.4,53.0,50.9,49.1,47.8,46.8
GPT 5 Mini,OpenAI,86.3,75.1,66.2,60.4,55.2,50.5,48.1,47.0,45.6,45.1
Gemini 3 Flash,Google,76.0,61.6,57.1,49.6,47.5,42.8,41.1,39.5,36.6,35.8
Mistral Large 3,Mistral,82.4,71.8,59.8,53.8,46.1,43.4,40.7,37.4,35.9,35.5
OSS 120B,OpenAI,73.1,52.4,36.5,28.3,25.0,22.2,20.3,20.2,19.8,19.2
GPT 4o,OpenAI,45.6,29.6,23.9,19.9,18.8,17.3,16.5,16.2,15.6,14.7
GPT 5 Nano,OpenAI,30.3,17.4,12.8,12.2,11.4,11.1,10.5,10.3,10.1,10.0
