model_key,model_slug,provider,vals_index,corp_fin_v2,finance_agent,swebench,terminal_bench_2_1,vibe_code_bench,stderr,latency,cost_per_test,reasoning_effort,compute_effort,reasoning,verbosity,temperature,top_p,max_output_tokens,harness
anthropic/claude-fable-5,claude-fable-5,Anthropic,75.145,71.562,56.349,97.059,80.524,93.467,0.637,1050.682,11.002463,,max,,,1.0,,128000.0,
anthropic/claude-opus-5,claude-opus-5,Anthropic,74.82,74.942,56.57,95.098,84.644,85.664,1.353,1182.436,8.538371,,,,,,,,
kimi/kimi-k3,kimi-k3,Moonshot AI,74.7,72.611,55.882,95.098,80.899,91.271,0.96,1223.498,2.34403,,,,,1.0,,262144.0,
openai/gpt-5.6-sol,gpt-5.6-sol,OpenAI,73.118,66.434,54.955,99.02,85.768,89.34,0.743,753.48,7.457146,max,,,,,,128000.0,
anthropic/claude-opus-4-8,claude-opus-4-8,Anthropic,70.358,65.967,53.949,89.216,71.91,89.869,0.902,1330.504,2.900298,,max,,,1.0,,128000.0,
openai/gpt-5.6-luna,gpt-5.6-luna,OpenAI,69.878,65.035,55.555,93.137,79.026,81.053,0.836,554.38,1.088721,max,,,,,,128000.0,
anthropic/claude-sonnet-5,claude-sonnet-5,Anthropic,68.608,67.949,51.979,75.49,74.532,86.902,0.996,1324.286,9.012369,,max,,,1.0,,128000.0,
meta/muse_spark_1_1,muse_spark_1_1,Meta,68.405,73.077,57.109,78.431,69.288,72.412,1.272,388.518,0.503142,xhigh,,,,,,256000.0,
openai/gpt-5.5,gpt-5.5,OpenAI,67.951,69.58,51.834,82.6,76.404,77.099,1.536,684.387,4.60358,xhigh,,,,,,128000.0,
anthropic/claude-opus-4-7,claude-opus-4-7,Anthropic,66.099,66.084,51.45,82.353,68.539,77.701,1.268,761.527,6.167573,,high,,,1.0,,128000.0,
grok/grok-4.5,grok-4.5,SpaceXAI,65.299,68.415,48.751,86.275,67.79,72.754,1.406,388.451,1.248659,high,,,,0.7,0.95,,
openai/gpt-5.6-terra,gpt-5.6-terra,OpenAI,65.135,66.434,52.626,73.529,73.408,72.818,1.715,352.049,2.655165,xhigh,,,,,,128000.0,
zai/glm-5.2,glm-5.2,Zhipu AI,65.017,66.317,50.83,83.333,67.79,72.881,1.422,1122.395,2.076891,max,,,,1.0,0.95,131072.0,
google/gemini-3.5-flash,gemini-3.5-flash,Google,62.748,64.569,58.101,75.49,74.157,54.709,1.606,364.275,1.401628,high,,,,1.0,,65536.0,
google/gemini-3.6-flash,gemini-3.6-flash,Google,62.433,63.52,55.302,77.451,73.783,57.883,1.842,808.768,1.447512,high,,,,1.0,,65536.0,
anthropic/claude-sonnet-4-6,claude-sonnet-4-6,Anthropic,60.065,66.667,51.033,77.451,57.303,56.223,1.525,711.832,2.15182,,max,True,,1.0,,128000.0,
minimax/MiniMax-M3,MiniMax-M3,MiniMax,58.939,69.697,48.008,69.608,53.558,56.54,1.817,1477.674,1.500191,,,,,1.0,0.95,512000.0,
alibaba/qwen3.7-max,qwen3.7-max,Alibaba,57.487,65.385,48.353,66.667,61.049,52.88,1.572,1831.709,5.223348,,,,,0.7,,65536.0,
deepseek/deepseek-v4-pro,deepseek-v4-pro,DeepSeek,55.615,61.888,44.081,75.49,50.187,55.905,1.685,1326.907,0.828183,max,,,,,,384000.0,
kimi/kimi-k2.6,kimi-k2.6,Moonshot AI,55.166,68.182,44.932,74.51,53.558,42.323,1.924,1189.192,0.705307,,,,,,0.95,128000.0,
google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,Google,53.77,65.734,42.968,72.549,70.787,34.214,1.591,435.112,1.350398,high,,,,1.0,,65536.0,
zai/glm-5.1,glm-5.1,Zhipu AI,52.452,65.268,44.79,72.549,56.929,32.804,1.607,898.864,0.863172,,,,,1.0,0.95,131072.0,
openai/gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,OpenAI,52.425,60.256,45.407,67.647,54.682,42.523,2.054,1050.167,0.65965,xhigh,,,,,,128000.0,
alibaba/qwen3.7-plus,qwen3.7-plus,Alibaba,52.331,62.005,41.245,66.667,52.809,46.94,1.628,832.609,0.351425,,,,,0.7,,65536.0,
xiaomi/mimo-v2.5,mimo-v2.5,Xiaomi,51.57,60.14,37.61,64.706,60.674,48.148,1.569,585.32,0.039823,,,,,1.0,0.95,128000.0,
google/gemini-3.5-flash-lite,gemini-3.5-flash-lite,Google,50.997,62.238,46.626,68.627,50.187,32.772,1.623,342.247,0.416812,high,,,,1.0,,65536.0,
xiaomi/mimo-v2.5-pro,mimo-v2.5-pro,Xiaomi,50.744,62.471,41.243,66.667,57.303,36.321,1.626,839.412,0.091426,,,,,1.0,0.95,128000.0,
google/gemini-3-flash-preview,gemini-3-flash-preview,Google,49.546,67.716,42.476,68.627,53.933,21.954,1.545,353.286,0.397051,high,,,,1.0,,65536.0,
thinkingmachines/inkling,inkling,Thinkingmachines,49.284,69.231,45.971,75.49,47.566,13.277,1.292,1247.29,,0.99,,,,1.0,1.0,256000.0,
alibaba/qwen3.6-plus,qwen3.6-plus,Alibaba,48.887,62.238,40.88,70.588,53.184,28.253,1.455,838.547,1.552897,,,,,0.7,,65536.0,
openai/gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,OpenAI,46.635,61.072,38.236,67.647,41.573,30.032,1.866,929.692,0.325075,high,,,,,,128000.0,
grok/grok-4.3,grok-4.3,SpaceXAI,46.48,70.047,37.766,70.588,41.948,15.475,1.364,366.757,0.68602,high,,,,0.7,0.95,,
nvidia/nemotron-3-ultra-550b-a55b,nemotron-3-ultra-550b-a55b,Nvidia,43.987,64.918,38.16,67.647,50.936,7.104,1.263,638.492,,,,,,,0.95,128000.0,
minimax/MiniMax-M2.7,MiniMax-M2.7,MiniMax,41.56,63.753,27.943,69.608,48.689,11.719,1.178,782.736,0.720828,,,,,1.0,0.95,196608.0,
anthropic/claude-haiku-4-5-20251001-thinking,claude-haiku-4-5-20251001-thinking,Anthropic,40.903,63.17,30.999,64.706,43.82,9.882,1.023,376.932,0.558143,,,,,1.0,,64000.0,
grok/grok-4.20-0309-reasoning,grok-4.20-0309-reasoning,SpaceXAI,39.496,65.851,28.573,66.667,44.195,1.515,0.772,223.886,0.540067,,,,,0.7,0.95,2000000.0,
mistralai/mistral-medium-3.5,mistral-medium-3.5,Mistral AI,37.814,59.907,31.511,64.706,38.951,1.24,1.057,1003.73,4.815687,high,,,,0.7,0.95,80000.0,
google/gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview,Google,36.2,60.839,30.068,57.843,34.082,0.0,0.741,209.083,0.171524,high,,,,1.0,,65536.0,
poolside/laguna-m.1,laguna-m.1,Poolside,33.334,55.245,24.634,50.98,34.082,5.264,0.934,1212.296,0.789689,,,,,1.0,,32768.0,
poolside/laguna-xs.2,laguna-xs.2,Poolside,30.041,55.478,18.693,43.137,25.843,5.465,1.009,747.181,0.316248,,,,,1.0,,32768.0,
