source_row_index,AI SYSTEM,AUTHOR,DATE,SYSTEM TYPE,ARC-AGI-1,ARC-AGI-2,ARC-AGI-3,COST/TASK,COST (V3),CODE / PAPER,eval_id,eval_row_id,eval_model_label,eval_variant_label,source_date,score_arc_agi_1,score_arc_agi_2,score_arc_agi_3,score_numeric,cost_per_task,cost_v3,score_label
0,GPT-5.5 Pro (High),OpenAI,23.04.2026,CoT,96.5%,84.6%,,$10.51,,—,arc_agi_2,arc_agi_2:0000:gpt_5_5_pro_high,GPT-5.5 Pro (High),GPT-5.5 Pro (High),2026-04-23,96.5,84.6,,84.6,10.51,,ARC-AGI-2
1,GPT-5.5 Pro (xHigh),OpenAI,23.04.2026,CoT,95.0%,84.2%,,$10.76,,—,arc_agi_2,arc_agi_2:0001:gpt_5_5_pro_xhigh,GPT-5.5 Pro (xHigh),GPT-5.5 Pro (xHigh),2026-04-23,95.0,84.2,,84.2,10.76,,ARC-AGI-2
2,GPT-5.5 (Low),OpenAI,22.04.2026,CoT,76.2%,33.3%,,$0.350,,—,arc_agi_2,arc_agi_2:0002:gpt_5_5_low,GPT-5.5 (Low),GPT-5.5 (Low),2026-04-22,76.2,33.3,,33.3,0.35,,ARC-AGI-2
3,GPT-5.5 (Medium),OpenAI,22.04.2026,CoT,92.2%,70.4%,,$0.860,,—,arc_agi_2,arc_agi_2:0003:gpt_5_5_medium,GPT-5.5 (Medium),GPT-5.5 (Medium),2026-04-22,92.2,70.4,,70.4,0.86,,ARC-AGI-2
4,GPT-5.5 (High),OpenAI,22.04.2026,CoT,94.5%,83.3%,,$1.45,,—,arc_agi_2,arc_agi_2:0004:gpt_5_5_high,GPT-5.5 (High),GPT-5.5 (High),2026-04-22,94.5,83.3,,83.3,1.45,,ARC-AGI-2
5,GPT-5.5 (xHigh),OpenAI,22.04.2026,CoT,95.0%,85.0%,,$1.87,,—,arc_agi_2,arc_agi_2:0005:gpt_5_5_xhigh,GPT-5.5 (xHigh),GPT-5.5 (xHigh),2026-04-22,95.0,85.0,,85.0,1.87,,ARC-AGI-2
6,Claude 4.7 (Low),Anthropic,16.04.2026,CoT,91.0%,62.1%,,$2.38,,—,arc_agi_2,arc_agi_2:0006:claude_4_7_low,Claude 4.7 (Low),Claude 4.7 (Low),2026-04-16,91.0,62.1,,62.1,2.38,,ARC-AGI-2
7,Claude 4.7 (Medium),Anthropic,16.04.2026,CoT,91.0%,67.5%,,$2.96,,—,arc_agi_2,arc_agi_2:0007:claude_4_7_medium,Claude 4.7 (Medium),Claude 4.7 (Medium),2026-04-16,91.0,67.5,,67.5,2.96,,ARC-AGI-2
8,Claude 4.7 (High),Anthropic,16.04.2026,CoT,93.5%,68.3%,,$3.17,,—,arc_agi_2,arc_agi_2:0008:claude_4_7_high,Claude 4.7 (High),Claude 4.7 (High),2026-04-16,93.5,68.3,,68.3,3.17,,ARC-AGI-2
9,Claude 4.7 (Max),Anthropic,16.04.2026,CoT,92.0%,75.8%,,$7.43,,—,arc_agi_2,arc_agi_2:0009:claude_4_7_max,Claude 4.7 (Max),Claude 4.7 (Max),2026-04-16,92.0,75.8,,75.8,7.43,,ARC-AGI-2
10,GPT-5.4 Mini (xHigh),OpenAI,17.03.2026,CoT,63.7%,18.9%,,$0.750,,—,arc_agi_2,arc_agi_2:0010:gpt_5_4_mini_xhigh,GPT-5.4 Mini (xHigh),GPT-5.4 Mini (xHigh),2026-03-17,63.7,18.9,,18.9,0.75,,ARC-AGI-2
11,GPT-5.4 Mini (High),OpenAI,17.03.2026,CoT,58.0%,13.2%,,$0.560,,—,arc_agi_2,arc_agi_2:0011:gpt_5_4_mini_high,GPT-5.4 Mini (High),GPT-5.4 Mini (High),2026-03-17,58.0,13.2,,13.2,0.56,,ARC-AGI-2
12,GPT-5.4 Mini (Medium),OpenAI,17.03.2026,CoT,40.8%,4.4%,,$0.330,,—,arc_agi_2,arc_agi_2:0012:gpt_5_4_mini_medium,GPT-5.4 Mini (Medium),GPT-5.4 Mini (Medium),2026-03-17,40.8,4.4,,4.4,0.33,,ARC-AGI-2
13,GPT-5.4 Mini (Low),OpenAI,17.03.2026,CoT,13.0%,1.1%,,$0.060,,—,arc_agi_2,arc_agi_2:0013:gpt_5_4_mini_low,GPT-5.4 Mini (Low),GPT-5.4 Mini (Low),2026-03-17,13.0,1.1,,1.1,0.06,,ARC-AGI-2
14,GPT-5.4 Nano (xHigh),OpenAI,17.03.2026,CoT,51.5%,5.7%,,$0.160,,—,arc_agi_2,arc_agi_2:0014:gpt_5_4_nano_xhigh,GPT-5.4 Nano (xHigh),GPT-5.4 Nano (xHigh),2026-03-17,51.5,5.7,,5.7,0.16,,ARC-AGI-2
15,GPT-5.4 Nano (High),OpenAI,17.03.2026,CoT,38.2%,3.6%,,$0.130,,—,arc_agi_2,arc_agi_2:0015:gpt_5_4_nano_high,GPT-5.4 Nano (High),GPT-5.4 Nano (High),2026-03-17,38.2,3.6,,3.6,0.13,,ARC-AGI-2
16,GPT-5.4 Nano (Medium),OpenAI,17.03.2026,CoT,33.0%,1.9%,,$0.060,,—,arc_agi_2,arc_agi_2:0016:gpt_5_4_nano_medium,GPT-5.4 Nano (Medium),GPT-5.4 Nano (Medium),2026-03-17,33.0,1.9,,1.9,0.06,,ARC-AGI-2
17,GPT-5.4 Nano (Low),OpenAI,17.03.2026,CoT,18.3%,1.5%,,$0.010,,—,arc_agi_2,arc_agi_2:0017:gpt_5_4_nano_low,GPT-5.4 Nano (Low),GPT-5.4 Nano (Low),2026-03-17,18.3,1.5,,1.5,0.01,,ARC-AGI-2
18,Grok 4.20 (Reasoning),xAI,09.03.2026,CoT,89.5%,65.1%,,$0.920,,—,arc_agi_2,arc_agi_2:0018:grok_4_20_reasoning,Grok 4.20 (Reasoning),Grok 4.20 (Reasoning),2026-03-09,89.5,65.1,,65.1,0.92,,ARC-AGI-2
19,Grok 4.20 (Beta Reasoning),xAI,05.03.2026,CoT,,,0.1%,,$3.8K,—,arc_agi_2,arc_agi_2:0019:grok_4_20_beta_reasoning,Grok 4.20 (Beta Reasoning),Grok 4.20 (Beta Reasoning),2026-03-05,,,0.1,,,,ARC-AGI-2
20,GPT-5.4 (High),OpenAI,05.03.2026,CoT,,,0.2%,,$5.2K,—,arc_agi_2,arc_agi_2:0020:gpt_5_4_high,GPT-5.4 (High),GPT-5.4 (High),2026-03-05,,,0.2,,,,ARC-AGI-2
21,Gemini 3.1 Pro (Preview),Google,05.03.2026,CoT,,,0.4%,,$2.2K,—,arc_agi_2,arc_agi_2:0021:gemini_3_1_pro_preview,Gemini 3.1 Pro (Preview),Gemini 3.1 Pro (Preview),2026-03-05,,,0.4,,,,ARC-AGI-2
22,GPT-5.4 (Low),OpenAI,04.03.2026,CoT,68.2%,29.2%,,$0.270,,—,arc_agi_2,arc_agi_2:0022:gpt_5_4_low,GPT-5.4 (Low),GPT-5.4 (Low),2026-03-04,68.2,29.2,,29.2,0.27,,ARC-AGI-2
23,GPT-5.4 (Medium),OpenAI,04.03.2026,CoT,86.2%,55.4%,,$0.680,,—,arc_agi_2,arc_agi_2:0023:gpt_5_4_medium,GPT-5.4 (Medium),GPT-5.4 (Medium),2026-03-04,86.2,55.4,,55.4,0.68,,ARC-AGI-2
24,GPT-5.4 (High),OpenAI,04.03.2026,CoT,92.7%,67.5%,,$1.02,,—,arc_agi_2,arc_agi_2:0024:gpt_5_4_high,GPT-5.4 (High),GPT-5.4 (High),2026-03-04,92.7,67.5,,67.5,1.02,,ARC-AGI-2
25,GPT-5.4 (xHigh),OpenAI,04.03.2026,CoT,93.7%,74.0%,,$1.52,,—,arc_agi_2,arc_agi_2:0025:gpt_5_4_xhigh,GPT-5.4 (xHigh),GPT-5.4 (xHigh),2026-03-04,93.7,74.0,,74.0,1.52,,ARC-AGI-2
