model_name,total_games,black_llm_wins,white_rand_wins,draws,black_llm_win_rate,std_dev_black_llm_win_rate,moe_black_llm_win_rate,black_llm_loss_rate,std_dev_black_llm_loss_rate,moe_black_llm_loss_rate,draw_rate,std_dev_draw_rate,moe_draw_rate,black_llm_wins_percent,black_llm_draws_percent,white_rand_wins_percent,win_loss,std_dev_win_loss,moe_win_loss,win_loss_non_interrupted,std_dev_win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,std_dev_game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,std_dev_games_interrupted,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,std_dev_games_not_interrupted,moe_games_not_interrupted,reason_too_many_wrong_actions,reason_checkmate,reason_stalemate,reason_insufficient_material,reason_seventyfive_moves,reason_fivefold_repetition,reason_max_turns,reason_unknown_issue,reason_max_moves,reason_error,llm_total_moves,average_moves,std_dev_moves,moe_avg_moves,llm_wrong_actions,llm_wrong_moves,wrong_actions_per_100moves,wrong_moves_per_100moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,std_dev_wrong_actions_per_1000moves,std_dev_wrong_moves_per_1000moves,std_dev_mistakes_per_1000moves,moe_wrong_actions_per_1000moves,moe_wrong_moves_per_1000moves,moe_mistakes_per_1000moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,material_diff_llm_minus_rand_per_100moves,moe_material_diff_llm_minus_rand,completion_tokens_black,completion_tokens_black_per_move,std_dev_completion_tokens_black_per_move,moe_completion_tokens_black_per_move,min_moves,max_moves,prompt_tokens_black,total_tokens_black,average_game_cost,std_dev_game_cost,moe_average_game_cost,price_per_1000_moves,moe_price_per_1000_moves
amazon.nova-lite-v1,42,0,42,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5,0,0,0.023095238095238096,0.01297052855197265,0.003922736172442748,42,100.0,0.0,0.0,0,0.0,0.0,0.0,32,0,0,0,0,0,10,0,0,0,194,4.619047619047619,2.59410571039453,0.7845472344885497,50,46,42.46031746031746,19.682539682539684,424.6031746031746,196.82539682539684,621.4285714285714,571.9888529534079,250.8856425276912,533.0129336671354,172.98920045730304,75.87649039485267,161.20153522640408,38.95238095238095,0.21554026870452117,38.92857142857143,0.4629100498862757,0.023809523809523808,0.11904761904761914,0.15648233404192521,103670,534.3814432989691,627.8322922095701,189.87818676853868,2,12,502116,605786,0.0,0.0,0.0,0.0,0.0
amazon.nova-pro-v1,33,0,33,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5,0,0,0.05878787878787879,0.041439532435644695,0.01413884547378239,33,100.0,0.0,0.0,0,0.0,0.0,0.0,33,0,0,0,0,0,0,0,0,0,388,11.757575757575758,8.287906487128938,2.8277690947564778,11,88,4.949494949494949,32.76307026307026,49.494949494949495,327.6307026307026,377.12565212565215,105.26379301321333,206.79844217770906,218.26591789169697,35.915185715702044,70.5580166163876,74.47062994874662,38.45454545454545,1.2769815261709223,38.90909090909091,0.2919371040605711,-0.45454545454545453,-1.5523365523365524,0.40090909090909094,68751,177.19329896907217,52.94316233422971,18.063794332128413,4,36,307823,376574,0.0,0.0,0.0,0.0,0.0
anthropic.claude-3-7-sonnet-20250219-v1:0,42,2,10,30,0.047619047619047616,0.03286026473058829,0.06440611887195305,0.23809523809523808,0.06572052946117658,0.1288122377439061,0.7142857142857143,0.06970714806775237,0.13662601021279464,4.761904761904762,71.42857142857143,23.809523809523807,0.40476190476190477,0.25274336830206573,0.0764383308830346,0.45945945945945943,0.2166146853791818,0.06979802042713991,0.9278571428571428,0.22662460325700237,0.06853911351411553,5,11.904761904761903,0.049970296759725655,0.09794178164906228,37,88.09523809523809,0.049970296759725655,0.09794178164906228,5,7,1,0,0,0,0,0,29,0,7041,167.64285714285714,58.427282897286794,17.670429941259016,0,15,0.0,0.8695226298598439,0.0,8.695226298598438,8.695226298598438,0.0,29.951250549680875,29.951250549680875,0.0,9.058293458924624,9.058293458924624,13.380952380952381,10.207487402433953,9.738095238095237,10.867403764288614,3.642857142857143,2.8839099771134564,1.963208755554584,766344,108.84022155943758,6.557616740545921,1.9832499724341102,20,200,4230721,4997065,0.5758886428571429,0.20431759177747613,0.06179270218020539,3.4359909725160347,0.04723141278206636
anthropic.claude-v3-5-haiku,42,0,6,36,0.0,0.0,0.0,0.14285714285714285,0.05399492471560389,0.10583005244258362,0.8571428571428571,0.053994924715603895,0.10583005244258363,0.0,85.71428571428571,14.285714285714285,0.4285714285714286,0.1770844008302866,0.05355644389732042,0.46153846153846156,0.13497638119975428,0.042362496708464314,0.9452380952380952,0.20236694629405502,0.061202759560152004,3,7.142857142857142,0.03973918859029906,0.07788880963698616,39,92.85714285714286,0.03973918859029905,0.07788880963698613,1,3,1,0,0,0,2,0,35,0,7868,187.33333333333334,40.55990250304986,12.266716507498604,0,153,0.0,2.024396635310961,0.0,20.24396635310961,20.24396635310961,0.0,16.72120599948014,16.72120599948014,0.0,5.057070678206989,5.057070678206989,16.238095238095237,9.364722395868661,19.071428571428573,8.137216091163225,-2.8333333333333335,-1.5006421707492401,3.106521682649205,512157,65.09367056431114,3.0084934441874083,0.9098724088831334,30,200,4714508,5226665,0.13857700952380952,0.028606303577169413,0.008651535005100035,0.7542412464080809,0.025634758611031736
anthropic.claude-v3-5-sonnet,30,0,8,22,0.0,0.0,0.0,0.26666666666666666,0.08073734277593311,0.15824519184082889,0.7333333333333333,0.08073734277593311,0.15824519184082889,0.0,73.33333333333333,26.666666666666668,0.3666666666666667,0.2248882225544018,0.08047521690805479,0.4230769230769231,0.18397324220155997,0.07071703760964555,0.9006666666666666,0.2613879839642969,0.09353648878432211,4,13.333333333333334,0.06206328908341752,0.12164404660349833,26,86.66666666666667,0.06206328908341751,0.12164404660349831,4,4,0,0,0,0,0,0,22,0,5148,171.6,55.14845169302517,19.734619989119185,0,12,0.0,1.4657738095238095,0.0,14.657738095238095,14.657738095238095,0.0,55.73599150948611,55.73599150948611,0.0,19.944868412245814,19.944868412245814,15.8,9.918286837609783,22.5,11.840171247596624,-6.7,-3.695372321781311,3.6748235206668056,417373,81.07478632478633,8.50511825579201,3.0435174803249008,10,200,2997738,3415111,0.0,0.0,0.0,0.0,0.0
anthropic.claude-v3-5-sonnet-v1,60,4,8,48,0.06666666666666667,0.03220305943597653,0.063117996494514,0.13333333333333333,0.043885372573625556,0.08601533024430609,0.8,0.05163977794943222,0.10121396478088715,6.666666666666667,80.0,13.333333333333334,0.4666666666666667,0.22297424542824174,0.05642026855954737,0.4745762711864407,0.21623201168076708,0.055175979835027235,0.9858333333333333,0.10973452814254347,0.027766666666666665,1,1.6666666666666667,0.01652719420071502,0.032393300633401435,59,98.33333333333333,0.016527194200715044,0.032393300633401484,1,11,0,0,0,0,0,0,48,0,11003,183.38333333333333,40.11766239648308,10.151169172222898,0,3,0.0,0.16666666666666666,0.0,1.6666666666666667,1.6666666666666667,0.0,12.909944487358056,12.909944487358056,0.0,3.266666666666666,3.266666666666666,13.2,8.297028261136736,17.366666666666667,9.425832996802766,-4.166666666666667,-1.9325398324516605,3.0048638788338065,884906,80.42406616377352,5.064480264512477,1.28149031781466,30,200,6420741,7305647,0.54226355,0.12070330599370929,0.030542150404459845,2.9560471504886796,0.027394232790231714
anthropic.claude-v3-5-sonnet-v2,60,2,5,53,0.03333333333333333,0.023174059571793568,0.04542115676071539,0.08333333333333333,0.03568120160740314,0.06993515515051014,0.8833333333333333,0.04144384867012948,0.08122994339345378,3.3333333333333335,88.33333333333333,8.333333333333332,0.475,0.17036849394419604,0.04310917686460161,0.49137931034482757,0.14783167616146756,0.038046050118454536,0.9761666666666666,0.13337968826975813,0.03374971767755252,2,3.3333333333333335,0.023174059571793568,0.04542115676071539,58,96.66666666666667,0.023174059571793564,0.045421156760715384,2,5,1,0,0,0,0,0,52,0,11292,188.2,37.12498359298844,9.393916954679366,0,8,0.0,0.29828722002635044,0.0,2.9828722002635044,2.9828722002635044,0.0,18.02752921236788,18.02752921236788,0.0,4.561594266967543,4.561594266967543,10.816666666666666,7.740476196682762,13.833333333333334,8.843587481787162,-3.0166666666666666,-0.5113419411810575,2.559978723722791,1025929,90.8544987601842,4.514625535478015,1.142357874866914,22,200,6510330,7536259,0.58199875,0.11560331480096209,0.02925167458204597,3.0970754709328765,0.022570201685879664
anthropic.claude-v3-haiku,40,0,40,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5,0,0,0.16675,0.12831027098804537,0.03976376494453338,40,100.0,0.0,0.0,0,0.0,0.0,0.0,3,0,0,0,0,0,37,0,0,0,1334,33.35,25.662054197609077,7.952752988906678,7,4,1.3203463203463202,1.3541666666666665,13.203463203463203,13.541666666666666,26.74512987012987,56.50616801833102,64.26461887630113,99.02084753056842,17.511442893036733,19.915811723952693,30.686878575611857,36.725,3.389179614823986,37.15,3.731707521449266,-0.425,-1.1710852516809853,1.0732781200960555,280994,210.64017991004496,261.9015177634043,81.16412124116572,2,98,2052970,2333964,0.021612125,0.011225211786163803,0.003478729173280369,0.9677011063041965,0.26270097795583003
anthropic.claude-v3-opus,30,0,5,25,0.0,0.0,0.0,0.16666666666666666,0.06804138174397717,0.13336110821819525,0.8333333333333334,0.06804138174397716,0.13336110821819522,0.0,83.33333333333334,16.666666666666664,0.4166666666666667,0.18952451089472586,0.06782047521388765,0.46,0.13844373104863458,0.05426994257106475,0.8683333333333333,0.30691831254376567,0.10982930761987227,5,16.666666666666664,0.06804138174397717,0.13336110821819525,25,83.33333333333334,0.06804138174397716,0.13336110821819522,2,2,0,0,0,0,1,0,23,2,4968,165.6,66.45900992341069,23.78205127121432,1,7,0.18518518518518517,0.7457634521313766,1.8518518518518516,7.457634521313766,9.309486373165617,10.143010324169742,26.144327998793642,34.402707771246014,3.6296296296296293,9.355627621225407,12.310850869238884,15.633333333333333,10.479810913447302,21.633333333333333,10.189525836937124,-6,-3.349803552340468,3.1590075554883033,361980,72.8623188405797,13.503885685843564,4.832303432016992,18,200,2833235,3195215,2.3215675,0.9551961243375985,0.34181254323892524,14.022210435077307,0.4982252088823649
chat-bison-32k@002,36,0,36,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5,0,0,0.1322222222222222,0.094570037874012,0.030892879038843916,36,100.0,0.0,0.0,0,0.0,0.0,0.0,35,0,0,0,0,0,1,0,0,0,952,26.444444444444443,18.9140075748024,6.178575807768785,76,30,24.482651414285932,6.519321180951513,244.82651414285934,65.19321180951513,310.0197259523745,414.0114762776787,250.49179858637635,448.838041051552,135.24374891737503,81.8273208715496,146.62042674350698,37.05555555555556,3.6484395446699005,36.888888888888886,3.8005847503304597,0.16666666666666666,1.5530341484936185,1.5010426006242756,30126,31.644957983193276,127.99580441730095,41.8119627763183,2,64,575540,605666,0.0,0.0,0.0,0.0,0.0
