Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,price_per_1000_moves,moe_price_per_1000_moves,average_time_per_game_seconds,moe_average_time_per_game_seconds,white_opponent
gpt-5-nano-2025-08-07-medium,33,9,17,7,27.273,21.212,96.697,21.547,3191,29,55,9.088,17.236,26.324,8.751,20.061,9.697,10.364,3.584,5309.822,261.129,0.152,0.139,0.171,0.379,0.148,0.625,0.172,0.712,0.132,13,39.394,0.167,20,60.606,0.167,0.20714,0.04442,2.23737,0.11334,2636.016,589.187,dragon-lvl-3
o3-mini-2025-01-31-high,33,5,4,24,15.152,72.727,173.939,15.335,5740,65,73,11.324,12.718,24.042,4.915,8.879,4.303,4.576,3.452,6425.439,205.248,0.122,0.152,0.111,0.515,0.09,0.515,0.09,1.0,0.0,0,0.0,0.0,33,100.0,0.0,4.96056,0.43933,28.77369,0.90403,7502.28,743.974,dragon-lvl-3
gpt-5-nano-2025-08-07-high,33,20,5,8,60.606,24.242,123.182,22.034,4065,5,30,1.23,7.38,8.61,29.564,22.091,6.394,15.697,3.125,10748.24,1240.678,0.167,0.146,0.122,0.727,0.129,0.774,0.119,0.942,0.08,2,6.061,0.081,31,93.939,0.081,0.53118,0.09161,4.64456,0.50923,6729.299,1203.684,dragon-lvl-3
o4-mini-2025-04-16-high,33,9,6,18,27.273,54.545,133.212,16.51,4396,110,14,25.023,3.185,28.207,6.667,8.939,5.545,3.394,3.502,5757.554,210.622,0.152,0.17,0.132,0.545,0.116,0.545,0.116,1.0,0.0,0,0.0,0.0,33,100.0,0.0,3.43477,0.4177,25.89883,0.92596,11905.517,1715.211,dragon-lvl-3
gpt-5-nano-2025-08-07-low,33,0,33,0,0.0,0.0,37.091,8.847,1224,77,41,62.908,33.497,96.405,29.345,27.485,29.424,-1.939,2.451,1140.944,137.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.102,29,87.879,0.111,4,12.121,0.111,0.01828,0.00434,0.53219,0.06195,265.188,62.92,dragon-lvl-3
gpt-5-nano-2025-08-07-medium,33,4,23,6,12.121,18.182,110.424,21.812,3644,30,64,8.233,17.563,25.796,6.287,14,14.273,-0.273,4.02,5312.257,205.656,0.111,0.132,0.157,0.212,0.121,0.368,0.181,0.802,0.107,14,42.424,0.169,19,57.576,0.169,0.23664,0.04591,2.19359,0.08474,3012.989,581.433,dragon-lvl-5
o3-mini-2025-01-31-high,22,1,11,10,4.545,45.455,127.273,24.542,2800,54,46,19.286,16.429,35.714,11.295,7.727,12.909,-5.182,5.291,6532.04,321.143,0.087,0.208,0.209,0.273,0.124,0.273,0.124,1.0,0.0,0,0.0,0.0,22,100.0,0.0,3.68965,0.62393,30.06054,1.41522,6525.969,1096.09,dragon-lvl-5
gpt-5-nano-2025-08-07-high,33,13,7,13,39.394,39.394,142.667,17.882,4708,11,40,2.336,8.496,10.833,5.178,15.182,3.697,11.485,3.56,11001.857,496.764,0.167,0.167,0.139,0.591,0.131,0.65,0.126,0.944,0.063,3,9.091,0.098,30,90.909,0.098,0.62973,0.07013,4.54025,0.19959,8213.782,893.905,dragon-lvl-5
o4-mini-2025-04-16-high,23,3,9,11,13.043,47.826,126.739,20.045,2915,91,8,31.218,2.744,33.962,5.423,8.261,9.217,-0.956,4.674,4668.01,288.628,0.138,0.204,0.199,0.37,0.141,0.37,0.141,1.0,0.0,0,0.0,0.0,23,100.0,0.0,2.6556,0.38306,21.25462,1.27562,10501.554,1679.816,dragon-lvl-5
gpt-5-2025-08-07-low,24,15,2,7,62.5,29.167,121.417,25.106,2914,0,6,0.0,2.059,2.059,1.842,16.875,8.292,8.583,5.308,3272.958,267.164,0.194,0.182,0.111,0.771,0.132,0.771,0.132,1.0,0.0,0,0.0,0.0,24,100.0,0.0,4.02967,0.83688,32.63207,2.68104,8864.546,1856.537,dragon-lvl-5
gpt-5-mini-2025-08-07-high,33,14,13,6,42.424,18.182,108.636,18.27,3585,0,20,0.0,5.579,5.579,2.946,16.636,8.909,7.727,5.635,7494.238,364.322,0.169,0.132,0.167,0.515,0.157,0.515,0.157,1.0,0.0,0,0.0,0.0,33,100.0,0.0,1.63878,0.27378,15.17495,0.72944,7175.776,1190.971,dragon-lvl-5
gpt-5-nano-2025-08-07-low,33,0,33,0,0.0,0.0,49.303,13.122,1627,104,86,63.921,52.858,116.779,27.71,23,29.97,-6.97,2.78,1148.765,66.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382,0.125,26,78.788,0.139,7,21.212,0.139,0.02431,0.00638,0.5136,0.03263,351.057,91.665,dragon-lvl-5
o4-mini-2025-04-16-low,16,0,8,8,0.0,50.0,141.312,34.834,2261,146,8,64.573,3.538,68.111,9.922,11.875,21.5,-9.625,5.421,504.627,23.185,0.0,0.245,0.245,0.25,0.127,0.267,0.131,0.949,0.099,1,6.25,0.119,15,93.75,0.119,0.36954,0.09516,2.56042,0.10957,5279.86,8250.306,dragon-lvl-2
o3-mini-2025-01-31-low,23,0,20,3,0.0,13.043,100.696,21.797,2316,22,50,9.499,21.589,31.088,7.598,18.348,30.87,-12.522,3.539,624.94,25.851,0.0,0.138,0.138,0.065,0.07,0.065,0.07,1.0,0.0,0,0.0,0.0,23,100.0,0.0,0.32074,0.07476,3.10845,0.11717,622.018,148.717,dragon-lvl-2
gpt-5-2025-08-07-low,11,1,9,1,9.091,9.091,117.273,23.941,1290,0,5,0.0,3.876,3.876,3.395,6.364,17,-10.636,7.137,2947.331,160.858,0.17,0.17,0.228,0.136,0.191,0.136,0.191,1.0,0.0,0,0.0,0.0,11,100.0,0.0,3.50745,0.57584,30.4749,1.61437,8816.832,1600.256,dragon-lvl-7
gpt-5-nano-2025-08-07-medium,33,15,13,5,45.455,15.152,101.091,22.458,3336,24,54,7.194,16.187,23.381,14.885,22.97,9.879,13.091,3.873,4976.417,605.711,0.17,0.122,0.167,0.53,0.159,0.795,0.139,0.744,0.132,11,33.333,0.161,22,66.667,0.161,0.20291,0.04306,2.20291,0.26086,2586.443,552.646,dragon-lvl-1
gpt-5-nano-2025-08-07-high,33,19,5,9,57.576,27.273,116.182,20.957,3834,10,45,2.608,11.737,14.345,4.324,23.576,5.212,18.364,3.62,11408.99,489.369,0.169,0.152,0.122,0.712,0.128,0.839,0.088,0.907,0.077,5,15.152,0.122,28,84.848,0.122,0.53188,0.09322,4.61323,0.19654,6740.981,1154.884,dragon-lvl-1
gpt-5-nano-2025-08-07-low,33,0,32,1,0.0,3.03,62.03,17.67,2047,145,78,70.835,38.105,108.94,19.728,22.424,24.636,-2.212,2.985,1129.466,54.343,0.0,0.058,0.058,0.015,0.03,0.083,0.163,0.416,0.122,27,81.818,0.132,6,18.182,0.132,0.02989,0.00799,0.51295,0.02879,433.927,116.163,dragon-lvl-1
grok-3-mini-beta-high,40,0,21,19,0.0,47.5,136.925,17.451,5477,8,148,1.461,27.022,28.483,5.419,6.6,14.075,-7.475,2.636,0.0,0.0,0.0,0.155,0.155,0.237,0.078,0.237,0.078,1.0,0.0,0,0.0,0.0,40,100.0,0.0,0.0,0.0,0.0,0.0,4627.835,723.986,dragon-lvl-5
grok-3-mini-beta-high,40,6,5,29,15.0,72.5,152.425,16.715,6097,9,123,1.476,20.174,21.65,4.007,10.05,3.875,6.175,3.671,0.0,0.0,0.111,0.138,0.102,0.512,0.082,0.512,0.082,1.0,0.0,0,0.0,0.0,40,100.0,0.0,0.0,0.0,0.0,0.0,8067.316,1229.945,dragon-lvl-1
o3-2025-04-16-low,33,0,31,2,0.0,6.061,67.909,15.439,2241,1,15,0.446,6.693,7.14,4.228,9.545,22.909,-13.364,2.298,1380.855,79.135,0.0,0.081,0.081,0.03,0.041,0.03,0.041,1.0,0.0,0,0.0,0.0,33,100.0,0.0,3.96272,0.85721,58.59793,3.20072,1320.513,266.246,dragon-lvl-10
o3-2025-04-16-low,33,19,2,12,57.576,36.364,118.242,22.789,3902,3,4,0.769,1.025,1.794,0.912,16.212,5.848,10.364,3.217,1859.999,95.195,0.169,0.164,0.081,0.758,0.106,0.758,0.106,1.0,0.0,0,0.0,0.0,33,100.0,0.0,9.22027,1.78289,78.6543,3.85344,4789.01,948.173,dragon-lvl-3
claude-3-7-sonnet-20250219-thinking-budget-10000,33,0,22,11,0.0,33.333,121.061,21.552,3995,0,8,0.0,2.003,2.003,1.544,10.394,20.636,-10.242,2.2,655.824,26.284,0.0,0.161,0.161,0.167,0.082,0.167,0.082,1.0,0.0,0,0.0,0.0,33,100.0,0.0,1.41908,0.25213,11.62368,0.39857,1543.393,271.535,dragon-lvl-1
o3-mini-2025-01-31-low,33,0,26,7,0.0,21.212,122.818,21.404,4053,22,95,5.428,23.439,28.868,8.754,15.97,26.394,-10.424,2.393,647.35,18.332,0.0,0.139,0.139,0.106,0.071,0.135,0.087,0.864,0.103,7,21.212,0.139,26,78.788,0.139,0.40357,0.07502,3.27289,0.1121,954.474,181.497,dragon-lvl-1
o1-2024-12-17,2,0,0,2,0.0,100.0,7.0,3.92,14,0,0,0.0,0.0,0.0,0.0,39,39,0.0,0.0,1124.0,354.586,0.0,0.0,0.0,0.5,0.0,0.5,0,0.035,0.02,2,100.0,0.0,0,0.0,0.0,0.51039,0.42504,69.756,21.65604,120.445,106.513,dragon-lvl-1
o3-mini-2025-01-31-high,30,8,8,14,26.667,46.667,142.167,20.685,4265,49,36,11.489,8.441,19.93,6.384,14.6,4.033,10.567,4.219,6402.006,204.728,0.158,0.179,0.158,0.5,0.133,0.577,0.13,0.936,0.069,4,13.333,0.122,26,86.667,0.122,4.03943,0.57173,28.62194,0.90198,9094.156,1437.786,dragon-lvl-2
o3-2025-04-16-low,33,18,3,12,54.545,36.364,121.061,22.557,3995,1,6,0.25,1.502,1.752,1.185,16.545,5.03,11.515,4.229,1910.349,86.266,0.17,0.164,0.098,0.727,0.114,0.727,0.114,1.0,0.0,0,0.0,0.0,33,100.0,0.0,9.69356,1.90035,78.50412,3.49878,5175.08,1131.121,dragon-lvl-2
o4-mini-2025-04-16-low,33,0,13,20,0.0,60.606,152.879,17.57,5045,439,27,87.017,5.352,92.369,8.46,6.424,10.182,-3.758,3.312,668.034,16.215,0.0,0.167,0.167,0.303,0.085,0.312,0.085,0.988,0.024,1,3.03,0.058,32,96.97,0.058,0.52504,0.06246,3.42179,0.07544,1174.934,143.426,dragon-lvl-1
o4-mini-2025-04-16-high,30,4,9,17,13.333,56.667,114.8,23.698,3444,114,16,33.101,4.646,37.747,7.58,15.9,10.2,5.7,3.047,5809.408,231.166,0.122,0.177,0.164,0.417,0.116,0.568,0.098,0.767,0.141,8,26.667,0.158,22,73.333,0.158,2.98639,0.60718,26.09607,1.01912,9300.547,1944.93,dragon-lvl-2
grok-3-mini-beta-high,40,2,13,25,5.0,62.5,149.925,16.978,5997,5,142,0.834,23.679,24.512,4.075,7.8,7.675,0.125,3.521,0.0,0.0,0.068,0.15,0.145,0.362,0.086,0.362,0.086,1.0,0.0,0,0.0,0.0,40,100.0,0.0,0.0,0.0,0.0,0.0,4998.576,819.76,dragon-lvl-4
grok-3-mini-beta-high,33,0,33,0,0.0,0.0,47.788,8.943,1577,4,50,2.536,31.706,34.242,7.522,14.424,30.394,-15.97,1.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,33,100.0,0.0,0.0,0.0,0.0,0.0,1755.761,484.252,dragon-lvl-10
o4-mini-2025-04-16-medium,40,7,4,29,17.5,72.5,156.55,13.738,6262,168,29,26.828,4.631,31.46,4.237,5.975,4,1.975,2.784,2100.872,92.262,0.118,0.138,0.093,0.537,0.081,0.537,0.081,1.0,0.0,0,0.0,0.0,40,100.0,0.0,1.51708,0.11717,9.88555,0.41017,3073.055,246.44,dragon-lvl-1
o1-mini-2024-09-12,33,0,33,0,0.0,0.0,45.212,10.773,1492,156,201,104.558,134.718,239.276,83.231,28.152,35.303,-7.151,2.876,2851.43,463.526,0.0,0.0,0.0,0.0,0.0,0.5,0,0.226,0.054,33,100.0,0.0,0,0.0,0.0,1.81658,0.41794,47.31044,8.38209,917.404,210.334,dragon-lvl-1
o3-2025-04-16-low,33,15,3,15,45.455,45.455,132.333,21.541,4367,1,9,0.229,2.061,2.29,1.245,12.97,6.212,6.758,3.781,1858.123,130.512,0.17,0.17,0.098,0.682,0.111,0.682,0.111,1.0,0.0,0,0.0,0.0,33,100.0,0.0,10.3115,1.64588,79.50963,5.26842,4757.031,799.253,dragon-lvl-4
o3-2025-04-16-low,33,22,1,10,66.667,30.303,111.182,19.479,3669,3,8,0.818,2.18,2.998,3.369,19.394,5.455,13.939,3.12,1863.345,92.518,0.161,0.157,0.058,0.818,0.094,0.818,0.094,1.0,0.0,0,0.0,0.0,33,100.0,0.0,8.6885,1.60465,76.88896,3.71595,4469.123,854.308,dragon-lvl-1
grok-3-mini-beta-high,40,8,8,24,20.0,60.0,150.35,16.494,6014,12,113,1.995,18.789,20.785,3.981,9.6,5.5,4.1,3.517,0.0,0.0,0.124,0.152,0.124,0.5,0.099,0.5,0.099,1.0,0.0,0,0.0,0.0,40,100.0,0.0,0.0,0.0,0.0,0.0,8719.173,1223.479,dragon-lvl-2
o3-2025-04-16-low,35,15,3,17,42.857,48.571,119.0,19.93,4165,2,12,0.48,2.881,3.361,1.838,12.857,6.914,5.943,3.626,1819.887,111.073,0.164,0.166,0.093,0.671,0.106,0.671,0.106,1.0,0.0,0,0.0,0.0,35,100.0,0.0,9.08878,1.43252,78.82488,4.47459,3454.685,608.285,dragon-lvl-5
grok-3-mini-beta-high,40,3,10,27,7.5,67.5,156.15,15.025,6246,12,135,1.921,21.614,23.535,4.369,6.95,5.5,1.45,3.812,0.0,0.0,0.082,0.145,0.134,0.412,0.085,0.423,0.085,0.99,0.02,1,2.5,0.048,39,97.5,0.048,0.0,0.0,0.0,0.0,8842.955,1140.23,dragon-lvl-3
o3-mini-2025-01-31-medium,38,0,8,30,0.0,78.947,171.763,15.848,6527,111,83,17.006,12.716,29.723,4.918,6.868,5.237,1.631,3.0,2146.73,68.27,0.0,0.13,0.13,0.395,0.066,0.395,0.066,1.0,0.0,0,0.0,0.0,38,100.0,0.0,1.6814,0.1622,9.77256,0.30448,3509.091,317.633,dragon-lvl-1
o4-mini-2025-04-16-high,33,9,9,15,27.273,45.455,119.333,21.085,3938,114,32,28.949,8.126,37.075,7.686,15.97,8.909,7.061,3.79,5965.077,408.227,0.152,0.17,0.152,0.5,0.128,0.611,0.121,0.867,0.102,6,18.182,0.132,27,81.818,0.132,3.18646,0.52532,27.05386,1.79666,8801.719,1455.771,dragon-lvl-1
o3-mini-2025-01-31-high,33,12,3,18,36.364,54.545,149.303,18.739,4927,63,56,12.787,11.366,24.153,5.639,15.636,1.424,14.212,3.345,6537.148,194.405,0.164,0.17,0.098,0.636,0.107,0.677,0.097,0.973,0.039,2,6.061,0.081,31,93.939,0.081,4.33148,0.54407,29.02746,0.85579,9579.833,1317.715,dragon-lvl-1
claude-3-7-sonnet-20250219-thinking-budget-5000,33,0,18,15,0.0,45.455,130.242,21.031,4298,0,13,0.0,3.025,3.025,1.688,9.576,15.879,-6.303,2.357,574.865,15.86,0.0,0.17,0.17,0.227,0.086,0.227,0.086,1.0,0.0,0,0.0,0.0,33,100.0,0.0,1.36934,0.21372,10.60906,0.24078,1640.758,267.849,dragon-lvl-1
