Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,price_per_1000_moves,moe_price_per_1000_moves,average_time_per_game_seconds,moe_average_time_per_game_seconds,elo,elo_moe_95,games_vs_random,games_vs_dragon
gpt-5-2025-08-07-low,43,41,0,2,95.349,4.651,42.093,8.701,1810,0,1,0.0,0.552,0.552,0.584,35.791,15.442,20.349,3.101,2864.842,190.228,0.063,0.063,0.0,0.977,0.032,0.977,0.032,1.0,0.0,0,0.0,0.0,43,100.0,0.0,1.22424,0.29247,27.41663,1.90586,2399.015,788.093,562.026,344.516,43,0
gpt-5-mini-2025-08-07-high,35,31,0,4,88.571,11.429,70.743,14.138,2476,0,18,0.0,7.27,7.27,4.246,33.086,3.857,29.229,3.214,6590.339,320.467,0.105,0.105,0.0,0.943,0.053,0.943,0.053,1.0,0.0,0,0.0,0.0,35,100.0,0.0,0.93946,0.18272,13.16065,0.64207,6181.185,1768.525,399.720,247.949,35,0
o3-2025-04-16-low,242,127,44,71,52.479,29.339,102.165,22.789,24724,12,58,0.485,2.346,2.831,4.228,17.706524793388432,9.450264462809919,8.256,4.229,1840.625057798091,189.166,0.17,0.17,0.098,0.671,0.114,0.6741203319502076,0.114,0.9967024793388429,0.038,1,0.413,0.046,241,99.587,0.046,7.886004504132232,1.90035,76.54568776859504,7.61905,3296.5659338842975,1131.121,739.916,62.992,42,200
gpt-5-nano-2025-08-07-medium,132,58,54,20,43.939,15.152,93.356,22.458,12323,88,200,7.141,16.23,23.371,14.885,22.5305,11.159250000000002,11.371,4.02,5103.258899131705,605.711,0.17,0.139,0.171,0.515,0.159,0.7310752688172042,0.181,0.8109999999999999,0.132,39,29.545,0.058,93,70.455,0.058,0.1921425,0.04591,2.1211149999999996,0.26086,2387.47925,589.187,413.304,77.499,33,99
o4-mini-2025-04-16-high,135,57,25,53,42.222,39.259,105.304,23.698,14216,420,72,29.544,5.065,34.609,9.288,18.496288888888888,8.429622222222223,10.067,3.79,5891.222624929657,419.759,0.152,0.177,0.164,0.619,0.128,0.6958,0.121,0.9087777777777778,0.141,15,11.111,0.05,120,88.889,0.05,2.77765,0.60718,26.406034000000002,1.85331,7128.557022222222,1944.93,399.953,69.328,39,96
gpt-5-nano-2025-08-07-high,132,81,18,33,61.364,25.0,110.75,22.034,14619,28,136,1.915,9.303,11.218,29.564,23.00025,6.856,16.144,3.62,10932.864751624598,1240.678,0.169,0.167,0.139,0.739,0.131,0.8056363636363636,0.126,0.942,0.08,11,8.333,0.058,121,91.667,0.058,0.48581250000000004,0.09322,4.464622500000001,0.50923,6080.728,1203.684,682.959,81.088,33,99
gpt-5-mini-2025-08-07-medium,33,27,0,6,81.818,18.182,115.818,18.983,3822,2,33,0.523,8.634,9.158,3.383,24.848,2.97,21.878,3.355,1689.126,72.93,0.132,0.132,0.0,0.909,0.067,0.909,0.067,1.0,0.0,0,0.0,0.0,33,100.0,0.0,0.40257,0.06647,3.44041,0.14709,1874.655,332.664,312.727,206.175,33,0
o3-2025-04-16-medium,53,48,5,0,90.566,0.0,35.943,7.299,1905,0,1,0.0,0.525,0.525,1.422,35.245,19.358,15.887,2.332,5040.309,341.848,0.079,0.0,0.079,0.906,0.079,1.0,0.0,0.917,0.07,5,9.434,0.079,48,90.566,0.079,7.36261,1.9088,185.82826,13.74326,0,0,305.635,160.005,53,0
o1-2024-12-17-medium,41,33,1,7,80.488,17.073,95.415,14.675,3912,6,16,1.534,4.09,5.624,2.043,24.585,3.683,20.902,2.993,3309.075,57.301,0.121,0.115,0.047,0.89,0.073,0.912,0.06,0.986,0.028,1,2.439,0.047,40,97.561,0.047,19.56551,2.91466,205.95008,3.46282,0,0,276.359,170.114,41,0
grok-3-mini-beta-high,216,52,63,101,24.074,46.759,125.801,44.445,27173,46,575,1.693,21.161,22.854,14.725,13.398060185185184,8.83788888888889,4.56,7.815,1013.8593685643843,313.092,0.126,0.367,0.367,0.475,0.198,0.4766046511627907,0.198,0.9981481481481481,0.02,1,0.463,0.0,215,99.537,0.0,0.0603650925925926,0.08532,0.7055428703703703,0.15969,5547.566393518518,2486.394,377.307,60.197,49,167
