Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,reason_too_many_wrong_actions,reason_checkmate,reason_stalemate,reason_insufficient_material,reason_seventyfive_moves,reason_fivefold_repetition,reason_max_turns,reason_unknown_issue,reason_max_moves,reason_error,white_checkmates,black_checkmates,get_board_actions_per_move,get_legal_moves_per_move,make_move_per_move
Amazon Nova Lite,30,0,30,0,0.0,0.0,4.333,0.903,130,38,31,477.778,211.389,689.167,201.905,38.967,38.9,0.067,0.209,537.4,191.864,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.022,0.005,30,100.0,0.0,0,0.0,0.0,0.0,0.0,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Amazon Nova Pro,30,0,30,0,0.0,0.0,12.067,3.068,362,9,81,48.333,323.172,371.505,77.562,38.4,38.9,-0.5,0.438,179.193,19.657,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.06,0.015,30,100.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Claude 3.7 Sonnet,30,2,6,22,6.667,73.333,170.567,20.115,5117,0,9,0.0,5.321,5.321,7.726,12.9,8.9,4.0,2.325,108.919,2.284,0.089,0.158,0.143,0.433,0.091,0.481,0.082,0.953,0.064,3,10.0,0.107,27,90.0,0.107,0.58627,0.07088,0.1,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.7,0.0,3,2,0.0,0.0,0.0
Claude 3.5 Haiku,30,0,3,27,0.0,90.0,194.367,8.113,5831,0,107,0.0,18.699,18.699,5.552,15.0,18.3,-3.3,4.043,64.79,0.898,0.0,0.107,0.107,0.45,0.055,0.466,0.047,0.98,0.039,1,3.333,0.064,29,96.667,0.064,0.14264,0.00645,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,2,0,0.501,0.519,0.518
Claude 3.5 Sonnet,30,3,6,21,10.0,70.0,171.567,18.386,5147,0,3,0.0,3.333,3.333,6.533,15.0,18.7,-3.7,4.98,79.271,1.782,0.107,0.164,0.143,0.45,0.098,0.466,0.096,0.972,0.056,1,3.333,0.064,29,96.667,0.064,0.50463,0.05462,0.03333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,5,3,0.0,0.0,0.0
Claude 3.5 Sonnet v2,30,0,4,26,0.0,86.667,187.033,13.636,5611,0,8,0.0,5.966,5.966,9.073,9.3,13.833,-4.533,3.543,90.897,1.645,0.0,0.122,0.122,0.433,0.062,0.464,0.049,0.952,0.067,2,6.667,0.089,28,93.333,0.089,0.57704,0.04254,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,2,0,0.0,0.0,0.0
Claude 3 Haiku,30,0,30,0,0.0,0.0,31.467,9.715,944,7,4,17.605,18.056,35.66,40.576,36.667,37.167,-0.5,1.341,218.273,105.61,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.157,0.049,30,100.0,0.0,0,0.0,0.0,0.02086,0.00423,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Chat-Bison-32K,30,0,30,0,0.0,0.0,27.0,6.789,810,63,27,221.684,76.232,297.916,154.775,37.133,36.967,0.167,1.641,30.196,49.639,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.135,0.034,30,100.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Claude 3.7 Sonnet Thinking,30,8,0,22,26.667,73.333,172.967,15.387,5189,0,18,0.0,3.369,3.369,2.0,9.933,3.3,6.633,2.326,679.545,22.327,0.158,0.158,0.0,0.633,0.08,0.633,0.08,1.0,0.0,0,0.0,0.0,30,100.0,0.0,2.09996,0.19667,0.0,0.26666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0,8,0.5,0.501,0.503
DeepHermes-3-Llama-3-8B-Preview,30,0,30,0,0.0,0.0,3.533,0.642,106,85,4,987.5,66.667,1054.167,165.994,39.0,39.0,0.0,0.0,100.17,27.803,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.018,0.003,30,100.0,0.0,0,0.0,0.0,0.00164,0.00035,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0,0,0.0,0.0,0.0
