player_white,player_black,games,win_rate_white,win_rate_black,draw_rate,player_white_elo,player_black_elo,source
4o_mini,flash_2,30,26.667,70.0,3.333,,,llm_vs_llm
4o_mini,haiku_35,30,3.333,60.0,36.667,,,llm_vs_llm
dragon-lvl-1,3x-o4-mini-2025-04-16-low_41mini-t03,33,51.515,6.061,42.424,250,,dragon_vs_llm
dragon-lvl-1,3x-o4-mini-2025-04-16-low_o4-mini-2025-04-16-medium,33,42.424,21.212,36.364,250,,dragon_vs_llm
dragon-lvl-1,5x-o4-mini-2025-04-16-low_o4-mini-2025-04-16-medium,2,50.0,0.0,50.0,250,,dragon_vs_llm
dragon-lvl-1,claude-3-7-sonnet-20250219-thinking-budget-10000,33,66.667,0.0,33.333,250,,dragon_refined
dragon-lvl-1,claude-3-7-sonnet-20250219-thinking-budget-10000,33,66.667,0.0,33.333,250,,dragon_vs_llm
dragon-lvl-1,claude-3-7-sonnet-20250219-thinking-budget-5000,33,54.545,0.0,45.455,250,,dragon_refined
dragon-lvl-1,claude-3-7-sonnet-20250219-thinking-budget-5000,33,54.545,0.0,45.455,250,,dragon_vs_llm
dragon-lvl-1,dragon-lvl-2,1000,12.9,25.0,62.1,250,375,misc_dragon
dragon-lvl-1,gemini-25pro-t03_mini41-t00_mini41-t03,31,22.581,12.903,64.516,250,,dragon_vs_llm
dragon-lvl-1,gpt-5-nano-2025-08-07-high,26,19.231,53.846,26.923,250,,dragon_refined
dragon-lvl-1,gpt-5-nano-2025-08-07-low,33,96.97,0.0,3.03,250,,dragon_refined
dragon-lvl-1,gpt-5-nano-2025-08-07-medium,33,39.394,45.455,15.152,250,,dragon_refined
dragon-lvl-1,grok-3-mini-beta-high,40,12.5,15.0,72.5,250,,dragon_refined
dragon-lvl-1,grok-3-mini-beta-high,37,8.108,10.811,81.081,250,,dragon_vs_llm
dragon-lvl-1,o1-2024-12-17,2,0.0,0.0,100.0,250,,dragon_refined
dragon-lvl-1,o1-mini-2024-09-12,33,100.0,0.0,0.0,250,,dragon_refined
dragon-lvl-1,o3-2025-04-16-low,33,3.03,66.667,30.303,250,,dragon_refined
dragon-lvl-1,o3-2025-04-16-low,33,3.03,66.667,30.303,250,,dragon_vs_llm
dragon-lvl-1,o3-mini-2025-01-31-high,33,9.091,36.364,54.545,250,,dragon_refined
dragon-lvl-1,o3-mini-2025-01-31-high,33,3.03,36.364,60.606,250,,dragon_vs_llm
dragon-lvl-1,o3-mini-2025-01-31-low,33,78.788,0.0,21.212,250,,dragon_refined
dragon-lvl-1,o3-mini-2025-01-31-low,33,78.788,0.0,21.212,250,,dragon_vs_llm
dragon-lvl-1,o3-mini-2025-01-31-medium,38,21.053,0.0,78.947,250,,dragon_refined
