Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,total_moves,player_wrong_actions,player_wrong_moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,material_diff_player_minus_opponent_per_1000moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,average_moves,completion_tokens_black_per_move
anthropic.claude-v3-5-sonnet,30,0,8,22,0.000,73.333,5148,0,12,13.24,20.60,-7.36,-1.43012,0.00,2.33,171.60,81.07479
anthropic.claude-v3-haiku,30,0,30,0,0.000,0.000,1020,6,4,34.34,35.89,-1.55,-1.52057,5.88,3.92,34.00,205.71176
gemini-1.5-flash-001,30,0,20,10,0.000,33.333,2524,18,36,16.69,31.44,-14.75,-5.84296,7.13,14.26,84.13,19.91482
gemini-1.5-pro-preview-0409,30,0,19,11,0.000,36.667,2558,14,61,22.09,28.23,-6.15,-2.40366,5.47,23.85,85.27,13.40774
gemma-2-27b-it@q6_k_l,30,0,22,8,0.000,26.667,3268,8,52,18.95,20.79,-1.85,-0.56518,2.45,15.91,108.93,55.04437
gemma-2-9b-it-8bit,30,0,26,4,0.000,13.333,2075,45,31,23.39,26.80,-3.41,-1.64413,21.69,14.94,69.17,58.12434
gpt-35-turbo-0125,30,0,30,0,0.000,0.000,86,90,0,39.00,39.00,0.00,0.00000,1046.51,0.00,2.87,82.02326
gpt-4-turbo-2024-04-09,30,0,2,28,0.000,93.333,5786,0,0,14.94,20.29,-5.35,-0.92524,0.00,0.00,192.87,6.03284
gpt-4o-2024-05-13,30,0,5,25,0.000,83.333,5596,1,3,11.68,15.91,-4.23,-0.75513,0.18,0.54,186.53,28.40654
gpt-4o-2024-08-06,30,0,3,27,0.000,90.000,5861,0,0,14.69,17.38,-2.69,-0.45911,0.00,0.00,195.37,6.57959
gpt-4o-mini-2024-07-18,30,0,12,18,0.000,60.000,4481,13,24,17.15,21.38,-4.23,-0.94480,2.90,5.36,149.37,108.21625
llama-3-70b-instruct-awq,30,0,15,15,0.000,50.000,4449,2,41,17.99,25.62,-7.63,-1.71560,0.45,9.22,148.30,41.60890
meta-llama-3.1-8b-instruct-fp16,30,0,30,0,0.000,0.000,830,19,61,34.70,35.29,-0.60,-0.71999,22.89,73.49,27.67,71.86024
phi-4,30,0,30,0,0.000,0.000,232,44,46,39.00,39.00,0.00,0.00000,189.66,198.28,7.73,333.54310
qwen2.5-14b-instruct@q8_0,30,0,30,0,0.000,0.000,398,29,59,38.19,37.80,0.39,0.09848,7.29,14.82,13.27,150.63065
Random Player (as White),1000,105,0,895,10.5,89.5,190073,0,0,10.56,11.08,-0.52,-0.00274,0.00,0.00,190.07,-
Random Player (as Black),1000,0,105,895,0.000,89.5,190073,0,0,11.08,10.56,0.52,0.00274,0.00,0.00,190.07,-
Stockfish chess engine (as Black),1000,1000,0,0,100.000,0.000,32368,0,0,38.21,21.01,17.21,0.53164,0.00,0.00,32.37,-
