Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,total_moves,player_wrong_actions,player_wrong_moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,material_diff_player_minus_opponent_per_1000moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,average_moves,completion_tokens_black_per_move
gemma-2-9b-it-f16,70,0,64,6,0.0,8.571428571428571,4014,119,65,24.62456402590932,28.006477329347284,-3.3819133034379654,-0.8425294727050238,29.64623816641754,16.19332336821126,57.34285714285714,53.94369706028899
gemma-2-9b-it@iq4_xs,70,0,56,14,0.0,20.0,5868,129,40,21.888207225630538,26.140081799591,-4.251874573960464,-0.7245866690457504,21.983640081799592,6.816632583503749,83.82857142857142,63.693762781186095
gemma-2-9b-it@q4_k_m,70,0,70,0,0.0,0.0,3996,123,79,26.73748748748749,32.04054054054054,-5.303053053053052,-1.3270903536168799,30.78078078078078,19.769769769769766,57.08571428571429,63.558308308308305
gemma-2-9b-it@q8_0,70,0,67,3,0.0,4.285714285714286,3466,121,74,28.384016156953262,33.32458165031737,-4.940565493364108,-1.4254372456330375,34.91055972302365,21.35025966532025,49.51428571428571,53.22129255626082
meta-llama-3.1-8b-instruct-fp16,30,0,30,0,0.0,0.0,830,19,61,34.69638554216868,35.29397590361446,-0.597590361445782,-0.7199883872840749,22.89156626506024,73.49397590361447,27.666666666666668,71.86024096385542
meta-llama-3.1-8b-instruct@f16#1,70,0,70,0,0.0,0.0,480,16,24,38.775,38.916666666666664,-0.14166666666666572,-0.29513888888888695,33.333333333333336,50.0,6.857142857142857,147.92083333333332
meta-llama-3.1-8b-instruct@f16#2,70,0,70,0,0.0,0.0,498,21,36,38.855421686746986,38.95582329317269,-0.10040160642570584,-0.20160965145724064,42.16867469879518,72.28915662650601,7.114285714285714,145.66465863453814
meta-llama-3.1-8b-instruct@f16#2_NOFA_NOFA,70,0,70,0,0.0,0.0,524,16,28,38.270992366412216,38.69083969465649,-0.4198473282442734,-0.8012353592447965,30.534351145038165,53.43511450381679,7.485714285714286,139.03625954198472
meta-llama-3.1-8b-instruct@f32#1,30,0,30,0,0.0,0.0,772,19,51,34.32383419689119,34.97409326424871,-0.650259067357517,-0.8423044913957474,24.61139896373057,66.06217616580311,25.733333333333334,97.0
meta-llama-3.1-8b-instruct@f32#2,40,0,40,0,0.0,0.0,927,24,64,37.27076591154261,37.49622437971953,-0.2254584681769174,-0.24321301852957644,25.889967637540458,69.03991370010787,23.175,100.88025889967638
meta-llama-3.1-8b-instruct@iq4_xs#1,70,0,70,0,0.0,0.0,1324,48,120,37.17371601208459,38.090634441087616,-0.9169184290030259,-0.6925365777968473,36.253776435045324,90.6344410876133,18.914285714285715,119.6095166163142
meta-llama-3.1-8b-instruct@iq4_xs#2,70,0,70,0,0.0,0.0,1288,39,110,37.149068322981364,37.83385093167702,-0.6847826086956559,-0.5316635160680558,30.279503105590063,85.40372670807454,18.4,128.13431677018633
meta-llama-3.1-8b-instruct@iq4_xs#2_NOFA,70,0,70,0,0.0,0.0,1152,42,124,36.46875,37.845486111111114,-1.3767361111111143,-1.1950834297839534,36.458333333333336,107.63888888888889,16.457142857142856,122.07378472222223
meta-llama-3.1-8b-instruct@q4_k_m#1,70,0,70,0,0.0,0.0,1020,58,87,37.872549019607845,38.21176470588235,-0.3392156862745068,-0.33256439830834006,56.86274509803922,85.29411764705883,14.571428571428571,103.00196078431372
meta-llama-3.1-8b-instruct@q4_k_m#2,70,0,70,0,0.0,0.0,1272,66,85,36.526729559748425,37.943396226415096,-1.4166666666666714,-1.11373165618449,51.88679245283019,66.82389937106917,18.17142857142857,94.34355345911949
meta-llama-3.1-8b-instruct@q4_k_m#2_NOFA,70,0,70,0,0.0,0.0,1500,70,99,36.58266666666667,37.656,-1.0733333333333306,-0.7155555555555537,46.66666666666667,66.0,21.428571428571427,93.504
meta-llama-3.1-8b-instruct@q8_0#1,80,0,80,0,0.0,0.0,1838,49,141,35.30685527747551,35.45157780195865,-0.14472252448313583,-0.07873913192771265,26.65941240478781,76.71381936887923,22.975,103.74591947769315
meta-llama-3.1-8b-instruct@q8_0#2,70,0,70,0,0.0,0.0,1615,45,114,34.99195046439628,37.18390092879257,-2.1919504643962853,-1.3572448695952233,27.86377708978328,70.58823529411765,23.071428571428573,108.16099071207431
meta-llama-3.1-8b-instruct@q8_0#2_NOFA,70,0,70,0,0.0,0.0,1342,52,123,36.928464977645305,37.47391952309985,-0.5454545454545467,-0.40644899065167417,38.74813710879285,91.65424739195231,19.17142857142857,99.00447093889717
